$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
19.8,1,,6.68,6.68,PIPE .50" NOM DIA XSCH40 CS.,  5500-0050-000
19.9,6,,1.50,,NIPPLE .5"MNPT X 1.5",  3086-0515-025
19.10,1,,5.77,,NIPPLE .5"MNPT X 6.0",  3086-0560-025
19.11,1,,,,GAUGE LVL .5" MNPT 20.5"LG 316SS/POL/T,  3615-0050-019
19.12,1,,,, VLV BALL .5"FNPT FP 2-PC BRZ/TF,  7302-0050-000
20,1,2025035,,,BASEPLATE ACV0121010,0300-2025-035
20.1,2,,,70.00,CHANNEL C4X5.4 20FT ASTM A36 CS,  6602-0400-000
20.2,4,,,23.75,TUBING SQ. 2.5"X2.5"X1/4"X20FT HR CS,  7215-0250-000
20.3,8,,,24.27,CHANNEL C4X5.4 20FT ASTM A36 CS,  6602-0400-000
20.4,2,,,66.83,TUBING SQ. 2.5"X2.5"X1/4"X20FT HR CS,  7215-0250-000
20.5,2,,,19.27,TUBING SQ. 2.5"X2.5"X1/4"X20FT HR CS,  7215-0250-000
20.6,2,,,19.27,CHANNEL C4X5.4 20FT ASTM A36 CS,  6602-0400-000
21,1,2025036,,,BRACKET HT EXCH SUPPORT,2728-2025-036
21.1,1,,,58.75,STOCK FLAT 1/4"X5"X20FT CS HR A-36,  6652-0025-007
22,1,2025097,,,BRACKET PIPE SUPPORT CS,2728-2025-097
22.1,1,,,22.25,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
22.2,1,,,6.50,STOCK FLAT 3/8"X2"X20FT CS HR A-36,  6652-0038-002
22.3,1,,,9.75,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
22.4,1,,,8.00,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
23,1,,,,GASKET PTFE  6.88" ODX4.50" ID X.12",3510-0400-001
24,1,,,,BOLT SET FOR 4" 150# FLG ZINC PLTD,3775-0400-001
25,1,,,,HT EX 0542 4PASS BR/CU/CI,4038-0548-005
26,1,,,,RECEIVER TNK HORZ 120 GAL CS ASME GALV,6000-0120-202-G
27,1,,,,TNK HRZ 120G CS GRASSHOPP - CAMEL SYSTEM,6008-0120-009
27.1,3,,,21.76,PIPE 2.5" NOM DIA X SCH40 CS.,  5500-0250-000
27.2,1,,,7.85,PIPE 4" NOM DIA X SCH40 CS.,  5500-0400-000
27.3,1,,,,CPLG 1.00" FNPT HALF 150# CS.,  3004-0100-000
