assy,Op,WC,Item,Q,Description,U
6890-ACV0121010-3,10,PICK,3085-0075-025,1.0,"PLUG SQ HD CS .75"" MNPT",EA
6890-ACV0121010-3,10,PICK,3086-0300-025,9.0,"NIPPLE .375""MNPT X CLOSE",EA
6890-ACV0121010-3,10,PICK,3086-0315-025,9.0,"NIPPLE .375""MNPT X 1.5""",EA
6890-ACV0121010-3,10,PICK,3086-0515-025,15.0,"NIPPLE .5""MNPT X 1.5""",EA
6890-ACV0121010-3,10,PICK,3086-0525-025,1.0,"NIPPLE .5""MNPT X 2.5""",EA
6890-ACV0121010-3,10,PICK,3086-0540-025,3.0,"NIPPLE .5""MNPT X 4.0""",EA
6890-ACV0121010-3,10,PICK,3086-1000-025,1.0,"NIPPLE 1.0""MNPT X CLOSE",EA
6890-ACV0121010-3,10,PICK,3086-1020-025,10.0,"NIPPLE 1.0""MNPT X 2.0""",EA
6890-ACV0121010-3,10,PICK,3086-1030-025,2.0,"NIPPLE 1.0""MNPT X 3.0""",EA
6890-ACV0121010-3,10,PICK,3086-1055-025,1.0,"NIPPLE 1.0""MNPT X 5.5""",EA
6890-ACV0121010-3,10,PICK,3086-1060-025,1.0,"NIPPLE 1.0""MNPT X 6.0""",EA
6890-ACV0121010-3,10,PICK,5500-0050-000,1.84,"PIPE .50"" NOM DIA XSCH40 CS.",FT
6890-ACV0121010-3,10,PICK,5500-0100-000,8.08,"PIPE 1"" NOM DIA X SCH40 CS.",FT
6890-ACV0121010-3,10,PICK,6770-0100-000,1.0,"STRAINER Y 1"" THD FNPT CI/304",EA
6890-ACV0121010-3,10,PICK,7300-0100-000,1.0,"VLV ANTI-SIPHON 1.00"" FNPT BRS/EPDM",EA
6890-ACV0121010-3,10,PICK,7302-0100-000,2.0,"VLV BALL 1"" FP 2-PC THD BRZ/TF",EA
6890-ACV0121010-3,10,PICK,7304-0038-000,3.0,"VLV BALL .38"" SP 2-PC THD BRZ/TF",EA
6890-ACV0121010-3,10,PICK,7320-0050-002,3.0,"VLV SWING CHECK .5"" THD FNPT BRS/BN",EA
6890-ACV0121010-3,10,PICK,7320-0100-000,1.0,"VLV SWING CHECK 1.0""THD FNPT BRS/TF",EA
6890-ACV0121010-3,10,PICK,7324-0050-000,3.0,"VLV GATE .50"" THD BRONZE 125#",EA
6890-ACV0121010-3,10,PICK,7334-0038-009,3.0,"VLV SOL 2WAY .38"" N4 BRS/BN 24VDC 5P",EA
6890-ACV0121010-3,10,PICK,7375-0007-000,3.0,"VLV FLOW CNTL .75GPM .38"" FNPT BUNA",EA
6890-ACV0121010-4,10,PICK,2915-0100-003,1.0,"BREATHER VENT 1"" ZN/SS",EA
6890-ACV0121010-4,10,PICK,3012-0100-025,3.0,"ELBOW 1.0"" 90°",EA
6890-ACV0121010-4,10,PICK,3025-0100-025,1.0,"TEE 1.00"" FNPT",EA
6890-ACV0121010-4,10,PICK,3086-1020-025,2.0,"NIPPLE 1.0""MNPT X 2.0""",EA
6890-ACV0121010-4,10,PICK,3086-1060-025,3.0,"NIPPLE 1.0""MNPT X 6.0""",EA
6890-ACV0121010-5,10,PICK,3002-1005-025,1.0,"BUSHING 1.0""MNPT X .5""FNPT STEEL",EA
6890-ACV0121010-5,10,PICK,3012-0050-025,2.0,"ELBOW .50"" 90°",EA
6890-ACV0121010-5,10,PICK,3025-0050-025,3.0,"TEE .5"" FNPT",EA
